title,r_psp_MMGBSA_dG_Bind,r_psp_MMGBSA_dG_Bind_Coulomb,r_psp_MMGBSA_dG_Bind_Covalent,r_psp_MMGBSA_dG_Bind_Hbond,r_psp_MMGBSA_dG_Bind_Lipo,r_psp_MMGBSA_dG_Bind_Packing,r_psp_MMGBSA_dG_Bind_SelfCont,r_psp_MMGBSA_dG_Bind_Solv_GB,r_psp_MMGBSA_dG_Bind_Solv_SA,r_psp_MMGBSA_dG_Bind_vdW,r_psp_Lig_Strain_Energy,r_psp_Lig_Strain_Coulomb,r_psp_Lig_Strain_Covalent,r_psp_Lig_Strain_Hbond,r_psp_Lig_Strain_Lipo,r_psp_Lig_Strain_Packing,r_psp_Lig_Strain_SelfCont,r_psp_Lig_Strain_Solv_GB,r_psp_Lig_Strain_Solv_SA,r_psp_Lig_Strain_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Complex_Energy,r_psp_Complex_Coulomb,r_psp_Complex_Covalent,r_psp_Complex_Hbond,r_psp_Complex_Lipo,r_psp_Complex_Packing,r_psp_Complex_SelfCont,r_psp_Complex_Solv_GB,r_psp_Complex_Solv_SA,r_psp_Complex_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Receptor_Energy,r_psp_Receptor_Coulomb,r_psp_Receptor_Covalent,r_psp_Receptor_Hbond,r_psp_Receptor_Lipo,r_psp_Receptor_Packing,r_psp_Receptor_SelfCont,r_psp_Receptor_Solv_GB,r_psp_Receptor_Solv_SA,r_psp_Receptor_vdW,r_psp_MMGBSA_dG_Bind(NS),r_psp_MMGBSA_dG_Bind(NS)_Coulomb,r_psp_MMGBSA_dG_Bind(NS)_Covalent,r_psp_MMGBSA_dG_Bind(NS)_Hbond,r_psp_MMGBSA_dG_Bind(NS)_Lipo,r_psp_MMGBSA_dG_Bind(NS)_Packing,r_psp_MMGBSA_dG_Bind(NS)_SelfCont,r_psp_MMGBSA_dG_Bind(NS)_Solv_GB,r_psp_MMGBSA_dG_Bind(NS)_Solv_SA,r_psp_MMGBSA_dG_Bind(NS)_vdW,r_psp_Rec_Strain_Energy,r_psp_Rec_Strain_Coulomb,r_psp_Rec_Strain_Covalent,r_psp_Rec_Strain_Hbond,r_psp_Rec_Strain_Lipo,r_psp_Rec_Strain_Packing,r_psp_Rec_Strain_SelfCont,r_psp_Rec_Strain_Solv_GB,r_psp_Rec_Strain_Solv_SA,r_psp_Rec_Strain_vdW,r_psp_Prime_MMGBSA_ligand_efficiency,r_psp_Prime_MMGBSA_ligand_efficiency_sa,r_psp_Prime_MMGBSA_ligand_efficiency_ln
RBS_23_4K63,-36.3926601533985,-42.2648454061655,3.38574419998167,-4.57589164416837,-9.38480176036899,0.0,0.0,50.9794399604673,,-34.532305503144,8.86968606408936,4.79050497696363,3.38574419998056,0.415803336332145,-0.0731061698943236,0.0,0.0,-0.0763757207021172,,0.427115441409327,11.2696965221973,39.6903290039987,-3.66290515681181,-0.456212095585295,-3.6438331869178,0.0,0.0,-34.602361528325,,13.9446794858386,-7962.92789052928,-6695.1495837852,1076.32749182559,-106.335386175748,-532.500363669339,-30.3771026213815,-39.3939517349315,-944.752273564362,,-690.746720803919,11.2696965221973,39.6903290039987,-3.66290515681181,-0.456212095585295,-3.6438331869178,0.0,0.0,-34.602361528325,,13.9446794858386,-7937.80492689808,-6692.57506738303,1076.60465278242,-101.303282435995,-519.471728722052,-30.3771026213815,-39.3939517349315,-961.129351996504,,-670.159094786614,-45.2623462174879,-47.0553503831288,1.13686837721616e-12,-4.99169498050051,-9.31169559047476,0.0,0.0,51.0558156811694,,-34.9594209445534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.17395677914189,-1.76093516871283,-8.20766016568248
RBS_26_4K64,-41.1798348195825,-49.7227669337417,4.70001423653662,-4.53869555695208,-9.61813958384926,0.0,0.0,53.9067659578632,,-35.9070129394369,10.9216257825303,6.34630519024162,4.70001423653658,0.0376010078931466,-0.0205662526984383,0.0,0.0,-1.34881466358746,,1.20708626414479,3.20472744063887,20.3687326551072,5.67419340644026,-1.33188744869584,-3.38471769778871,0.0,0.0,-34.7323926682766,,16.6107991938525,-7975.78003427703,-6721.92910166166,1086.9788604254,-107.173865441643,-532.47458600369,-30.3771026213815,-39.3939517349315,-941.954978706917,,-689.455308532198,3.20472744063887,20.3687326551072,5.67419340644026,-1.33188744869584,-3.38471769778871,0.0,0.0,-34.7323926682766,,16.6107991938525,-7937.80492689808,-6692.57506738303,1076.60465278242,-101.303282435995,-519.471728722052,-30.3771026213815,-39.3939517349315,-961.129351996504,,-670.159094786614,-52.1014606021126,-56.0690721239835,0.0,-4.57629656484522,-9.59757333115078,0.0,0.0,55.2555806214507,,-37.1140992035816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.28686983811195,-1.93030475716793,-9.2212875360062
