name,HA_segID,Subtype,original_clade,Clade_group,Domestic_Status,zoonotic_case,date
H5N6|A/Anas_Platyrhynchos/Belgium/10811_6/2019|MT406809|2019-09-21,MT406809,H5N6,EA-nonGsGD,EA-nonGsGD,Wild,nonGsGd,2019.9.21
H5N6|A/mink/China/181/2019|MT510064|2019-08-18,MT510064,H5N6,2.3.4.4h,H5N6_2.3.4.4x,Marine,zoonotic,2019.8.18
H5N6|A/mink/China/183/2019|MT510075|2019-08-18,MT510075,H5N6,2.3.4.4h,H5N6_2.3.4.4x,Marine,zoonotic,2019.8.18
H5N6|A/mink/China/456/2018|MT510089|2018-04-05,MT510089,H5N6,2.3.4.4h,H5N6_2.3.4.4x,Marine,zoonotic,2018.4.5
H5N6|A/chicken/Hunan/03_07_YYGK74L3-OC/2018|MW097219|2018-03-07,MW097219,H5N6,2.3.4.4h,H5N6_2.3.4.4x,Domestic,non-zoonotic,2018.3.7
H5N6|A/chicken/Anhui/8_28_YHZGS017-O/2018|MW102528|2018-08-28,MW102528,H5N6,2.3.4.4h,H5N6_2.3.4.4x,Domestic,non-zoonotic,2018.8.28
H5N6|A/chicken/Hunan/02_06_YYGK37J3-OC/2018|MW104784|2018-02-06,MW104784,H5N6,2.3.4.4h,H5N6_2.3.4.4x,Domestic,non-zoonotic,2018.2.6
H5N6|A/chicken/Hunan/12_27_YYGKK148-OC/2016|MW105016|2016-12-27,MW105016,H5N6,2.3.4.4h,H5N6_2.3.4.4x,Domestic,non-zoonotic,2016.12.27
H5N6|A/chicken/Shanxi/12_01_TGYL014-C/2016|MW106912|2016-12-01,MW106912,H5N6,2.3.4.4e,H5N6_2.3.4.4x,Domestic,non-zoonotic,2016.12.1
H5N6|A/pigeon/Fujian/1_17_FZHX0104-O/2017|MW110264|2017-01-17,MW110264,H5N6,2.3.4.4e,H5N6_2.3.4.4x,Wild,non-zoonotic,2017.1.17
H5N2|A/chicken/Changhua/15010120-1/2015|MW333038|2015-01-14,MW333038,H5N2,2.3.4.4c,H5N2_2.3.4.4x,Domestic,non-zoonotic,2015.1.14
H5N2|A/chicken/Changhua/15060027-2/2015|MW333134|2015-06-19,MW333134,H5N2,2.3.4.4c,H5N2_2.3.4.4x,Domestic,non-zoonotic,2015.6.19
H5N2|A/chicken/Changhua/16010060-2/2016|MW333166|2016-01-29,MW333166,H5N2,2.3.4.4c,H5N2_2.3.4.4x,Domestic,non-zoonotic,2016.1.29
H5N2|A/chicken/Changhua/18040008-1/2018|MW333206|2018-04-09,MW333206,H5N2,2.3.4.4c,H5N2_2.3.4.4x,Domestic,non-zoonotic,2018.4.9
H5N2|A/chicken/Chiayi/17030059-2/2017|MW333238|2017-03-24,MW333238,H5N2,2.3.4.4c,H5N2_2.3.4.4x,Domestic,non-zoonotic,2017.3.24
H5N2|A/chicken/Hsinchu/16080004-2/2016|MW333262|2016-08-17,MW333262,H5N2,2.3.4.4c,H5N2_2.3.4.4x,Domestic,non-zoonotic,2016.8.17
H5N8|A/chicken/Kaohsiung/16040021-1/2016|MW333286|2016-04-20,MW333286,H5N8,2.3.4.4c,H5N8_2.3.4.4x,Domestic,non-zoonotic,2016.4.20
H5N2|A/chicken/Kaohsiung/17100002/2017|MW333350|2017-10-03,MW333350,H5N2,2.3.4.4c,H5N2_2.3.4.4x,Domestic,non-zoonotic,2017.10.3
H5N2|A/chicken/Miaoli/18040011-1/2018|MW333382|2018-04-10,MW333382,H5N2,2.3.4.4c,H5N2_2.3.4.4x,Domestic,non-zoonotic,2018.4.10
